"","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5"
"RP11-312B8.1",6.35440737823956e-05,8.9488377852831e-05,0.0375788658857346,7.50792241888121e-05,0.0027408862952143
"RP3-467L1.4",0.000749136437661946,0.00064227229449898,0.000456762878457084,0.000287430913886055,0.000453287328127772
"TNFRSF9",1.02557919490209e-07,0.00384328095242381,0.0581991374492645,0.0793722867965698,6.28977941232733e-05
"CA6",0.0188958868384361,4.21376826125197e-05,0.000514756131451577,0.000644906307570636,0.000284388544969261
"SLC2A5",4.65357516077347e-05,3.90074274037033e-05,0.000325238652294502,6.34851676295511e-05,0.0685495808720589
"GPR157",0.000584936875384301,0.00130665150936693,0.0626812130212784,0.00345314154401422,0.0433855317533016
"SPSB1",0.000825929862912744,0,0.103263825178146,0.0840018466114998,0.0016843609046191
"PIK3CD-AS1",0.000176232191734016,0.000168988539371639,0.0243645776063204,6.43085077172145e-05,0.0030697078909725
"RBP7",9.53274934545334e-07,0,0.629898726940155,2.46201977915916e-07,1.21570622013678e-06
"PGD",0.179230898618698,0.14899443089962,0.807000994682312,0.099609263241291,0.139673680067062
"APITD1",0.00244315899908543,0.00105907255783677,0.0037094468716532,0.0104967774823308,0.006096709985286
"SRM",0.156684339046478,0.13020820915699,0.180642008781433,0.0872617363929749,0.177016586065292
"PTCHD2",0.000219676629058085,0.000160723051521927,0.000183890631888062,0.000369353161659092,0.000319613522151485
"FBXO2",0.00344509957358241,0.0488643907010555,0.000415940681705251,2.7647394745145e-05,0.0245761964470148
"MAD2L2",0.104381993412971,0.445010185241699,0.300243437290192,0,0.122399233281612
"AGTRAP",0.0873793289065361,0.588391959667206,0.901809692382812,1.53012834402944e-07,8.43420493765734e-05
"MTHFR",0.0402815788984299,0.0527018196880817,0.376469314098358,0.0141608137637377,0.127863422036171
"TNFRSF8",1.55176785483491e-05,5.9285455790814e-05,0.224005997180939,3.02255175483879e-05,0.00156381260603666
"TNFRSF1B",0.0652522146701813,0.621833562850952,1.22006940841675,0.694391846656799,3.99699965782929e-05
"TMEM51",1.08263348010951e-05,3.07031259580981e-05,0.152020156383514,3.70412963093258e-05,0.000313195690978318
"EFHD2",4.24948538579883e-08,0.930422008037567,0.84324711561203,0.451224118471146,0.10606911033392
"CTRC",7.35990470275283e-05,3.1967992981663e-05,0.0228786002844572,0.00059937487822026,0.000161796589964069
"CASP9",0.000965560728218406,0.0448620691895485,0.172991886734962,0.0572268292307854,0.211388036608696
"EPHA2",4.35331312473863e-05,3.7266352592269e-05,0.0209920629858971,6.52552116662264e-05,0.0379579588770866
"ATP13A2",0.0454564094543457,0.0674563348293304,0.159263402223587,0.000430419022450224,0.0713772848248482
"PADI2",4.37705493823159e-05,8.4199957200326e-05,0.14143417775631,2.77301296591759e-07,0.000153491942910478
"PADI4",0.02024270221591,5.6299641073565e-06,0.250703603029251,3.16273908538278e-05,0.000222617338295095
"ARHGEF10L",5.50076947547495e-07,1.45346393765067e-05,0.305590659379959,7.66950563502178e-07,0.000117388946819119
"RP1-43E13.2",0.00224742013961077,0.00594825576990843,0.022588923573494,0.000955928291659802,0.00795454159379005
"MRTO4",0.21040004491806,0.0982856675982475,0.0885569304227829,0.056277547031641,0.165149316191673
"UBXN10",0.00352457375265658,0.0133487759158015,0.00051103625446558,0.000200021939235739,0.00129175989422947
"CDA",8.35047842429049e-07,0,0.729177832603455,3.26189109500774e-07,2.67652922048001e-06
"PINK1-AS",0.000574254372622818,0.000514463114086539,0.00430994899943471,0.00322128948755562,0.000463063566712663
"DDOST",0.47119414806366,0.663113534450531,0.45157727599144,0.130073949694633,0.346565812826157
"KIF17",5.2344814321259e-05,5.37350751983467e-05,0.000780032016336918,0.000106873449112754,0.00176998600363731
"RP3-329E20.2",6.25673928880133e-05,6.20447244727984e-05,0.00471928296610713,0.000136888033011928,0.000308770861010998
"ALPL",4.80872658954468e-05,2.57849842455471e-05,9.56845033215359e-05,0.000112790396087803,0.0307901054620743
"LDLRAD2",8.54221289046109e-05,0.000108848355012015,0.00126369530335069,0.000111754743556958,0.00218869023956358
"ZBTB40",0.0728429406881332,0.0671566501259804,0.0739434361457825,0.0347090996801853,0.0745435133576393
"C1QA",4.65127595816739e-05,3.64092920790426e-05,0.0653378516435623,2.86985996353906e-05,0.00325692328624427
"C1QC",8.67243143147789e-05,4.4460357457865e-05,0.0099375294521451,5.13389277330134e-05,0.000507432327140123
"C1QB",4.33689019700978e-05,8.63840759848244e-05,0.0192888285964727,7.38960952730849e-05,0.00143060914706439
"TCEA3",0.193888917565346,0,0.0268012266606092,0,0.00246769329532981
"ID3",0.181584760546684,0,0.00928608886897564,0.159378841519356,0.615583956241608
"TCEB3-AS1",0.0267985388636589,0.0314360000193119,0.0253108590841293,4.2106987052648e-07,0.0147459665313363
