scope,stratum,subject,timepoint_merged,day_merged_numeric,gene,n_cells,total_counts,gene_counts,cpm,log2_cpm
all_cells,all_cells,Subject2,D2,2.0,IRF7,4187,10749595.0,2174.0,202.2401774206377,7.667041818439257
all_cells,all_cells,Subject2,D2,2.0,XAF1,4187,10749595.0,844.0,78.51458589835245,6.313147622870163
all_cells,all_cells,Subject2,D2,2.0,HLA-A,4187,10749595.0,77754.0,7233.20273926599,12.820618314897281
all_cells,all_cells,Subject2,D2,2.0,MT2A,4187,10749595.0,5181.0,481.9716463736541,8.915794685591855
all_cells,all_cells,Subject2,D2,2.0,MYL12A,4187,10749595.0,7623.0,709.142995619835,9.471965747208722
all_cells,all_cells,Subject2,D2,2.0,IFI44L,4187,10749595.0,232.0,21.582208445992613,4.497114677467815
all_cells,all_cells,Subject2,D2,2.0,PFN1,4187,10749595.0,25860.0,2405.6720276438323,11.232823834729231
all_cells,all_cells,Subject2,D2,2.0,UBC,4187,10749595.0,24896.0,2315.994230480311,11.178038736431587
all_cells,all_cells,Subject2,D2,2.0,IFIT3,4187,10749595.0,864.0,80.3751211092139,6.346515880305817
all_cells,all_cells,Subject2,D2,2.0,OAS1,4187,10749595.0,733.0,68.1886154780715,6.112462766499119
all_cells,all_cells,Subject2,D2,2.0,TYMP,4187,10749595.0,1834.0,170.61107883599334,7.422998882855826
all_cells,all_cells,Subject2,D2,2.0,EPSTI1,4187,10749595.0,1059.0,98.51533941511285,6.636847016447626
all_cells,all_cells,Subject2,D2,2.0,TNFAIP3,4187,10749595.0,35316.0,3285.3330753391174,11.682262991909326
all_cells,all_cells,Subject2,D2,2.0,H3F3B,4187,10749595.0,42102.0,3916.6126723844013,11.935759052545052
all_cells,all_cells,Subject2,D2,2.0,NFKBIA,4187,10749595.0,83503.0,7768.01358562811,12.9235157191429
all_cells,all_cells,Subject2,D2,2.0,ZFP36,4187,10749595.0,48628.0,4523.705311688487,12.143608119021485
all_cells,all_cells,Subject2,D2,2.0,NR4A2,4187,10749595.0,10910.0,1014.9219575249114,9.988573864118345
all_cells,all_cells,Subject2,D2,2.0,MYADM,4187,10749595.0,17057.0,1586.7574545831726,10.63277482825413
all_cells,all_cells,Subject2,D2,2.0,REL,4187,10749595.0,18664.0,1736.2514587758888,10.762590876978953
all_cells,all_cells,Subject2,D2,2.0,TSC22D3,4187,10749595.0,16529.0,1537.6393250164308,10.587439371433634
all_cells,all_cells,Subject2,D2,2.0,CREM,4187,10749595.0,15423.0,1434.7517278557937,10.4875905825988
all_cells,all_cells,Subject2,D2,2.0,JUNB,4187,10749595.0,31061.0,2889.5042092283475,11.497105457908917
all_cells,all_cells,Subject2,D2,2.0,KDM6B,4187,10749595.0,20797.0,1934.6775390142607,10.918622921359132
all_cells,all_cells,Subject2,D2,2.0,MCL1,4187,10749595.0,16516.0,1536.4299771293709,10.58630498848066
all_cells,all_cells,Subject2,D2,2.0,CD69,4187,10749595.0,13449.0,1251.1169025437703,10.29015354888692
all_cells,all_cells,Subject2,D2,2.0,DUSP2,4187,10749595.0,16245.0,1511.2197250221986,10.562452062560391
all_cells,all_cells,Subject2,D2,2.0,CXCR4,4187,10749595.0,16952.0,1576.9896447261501,10.62387202261723
all_cells,all_cells,Subject2,D2,2.0,ACTG1,4187,10749595.0,26225.0,2439.6267952420535,11.253035989114494
all_cells,all_cells,Subject2,D2,2.0,LDHB,4187,10749595.0,12663.0,1177.997868756916,10.203345395060673
all_cells,all_cells,Subject2,D2,2.0,ARPC1B,4187,10749595.0,5274.0,490.62313510415976,8.941408998314213
all_cells,all_cells,Subject2,D2,2.0,COX5A,4187,10749595.0,2551.0,237.3112661453757,7.8967033462037195
all_cells,all_cells,Subject2,D2,2.0,C1QBP,4187,10749595.0,2891.0,268.94036473002006,8.076496911824714
all_cells,all_cells,Subject2,D2,2.0,NAP1L1,4187,10749595.0,9462.0,880.2192082585436,9.78335713210962
all_cells,all_cells,Subject2,D2,2.0,ATP5G3,4187,10749595.0,3762.0,349.96667316303547,8.45519023242667
all_cells,all_cells,Subject2,D2,2.0,PPIB,4187,10749595.0,7096.0,660.1178928136363,9.368763750784185
all_cells,all_cells,Subject2,D2,2.0,H2AFY,4187,10749595.0,2003.0,186.33260136777247,7.549458182461614
all_cells,all_cells,Subject2,D2,2.0,COX8A,4187,10749595.0,4193.0,390.06120695709933,8.611250618439687
all_cells,all_cells,Subject2,D2,2.0,SET,4187,10749595.0,3377.0,314.15137035395287,8.299901125705487
all_cells,all_cells,Subject2,D2,2.0,TXN,4187,10749595.0,6019.0,559.9280717087481,9.131671974437491
all_cells,all_cells,Subject2,D2,2.0,IDH2,4187,10749595.0,661.0,61.49068871897035,5.9655693352266
all_cells,all_cells,Subject2,D2,2.0,UCP2,4187,10749595.0,8090.0,752.5864927934495,9.55762929624009
all_cells,all_cells,Subject2,D2,2.0,OSTC,4187,10749595.0,2254.0,209.68231826408342,7.718925429306589
all_cells,all_cells,Subject2,D2,2.0,MIF,4187,10749595.0,8425.0,783.7504575753785,9.61609015479465
all_cells,all_cells,Subject2,D2,2.0,CLIC1,4187,10749595.0,6520.0,606.534478740827,9.246822476512724
all_cells,all_cells,Subject2,D2,2.0,MZT2B,4187,10749595.0,2616.0,243.35800558067538,7.932852560258003
all_cells,all_cells,Subject2,D2,2.0,PPM1G,4187,10749595.0,2022.0,188.1001098180908,7.563006390894071
all_cells,all_cells,Subject2,D2,2.0,PDIA6,4187,10749595.0,1647.0,153.21507461443895,7.268799986211306
all_cells,all_cells,Subject2,D2,2.0,DUT,4187,10749595.0,1868.0,173.77398869445778,7.449346676822235
all_cells,all_cells,Subject2,D2,2.0,SNX3,4187,10749595.0,2930.0,272.56840839119985,8.095757827568486
all_cells,all_cells,Subject2,D2,2.0,NDUFB3,4187,10749595.0,1250.0,116.28345067883953,6.873855645528375
all_cells,all_cells,Subject2,D2,2.0,GNG5,4187,10749595.0,5458.0,507.74005904408494,8.99078488867121
all_cells,all_cells,Subject2,D2,2.0,MTRNR2L8,4187,10749595.0,864.0,80.3751211092139,6.346515880305817
all_cells,all_cells,Subject2,D2,2.0,CD52,4187,10749595.0,17859.0,1661.364916538716,10.699021396910432
all_cells,all_cells,Subject2,D2,2.0,RPLP0,4187,10749595.0,76972.0,7160.455812521309,12.806037179415863
