pattern,broad_cell_type,n_subjects,n_subject_groups,total_cells,mean_subject_score,sd_subject_score,median_subject_score,min_subject_score,max_subject_score,se_subject_score,n_cells_cell_level,mean_cell_score,median_cell_score
Pattern3,B_cell,3,3,420,0.030441106976683768,0.004879880986035139,0.03142137529696742,0.025145502605100248,0.034756443027983634,0.002817400600900724,420,0.030086240563531024,0.0020690446253865498
Pattern3,Monocyte,3,3,723,0.16153486717101992,0.06237033721976593,0.13527992982755765,0.11658421893349273,0.2327404527520093,0.0360095309832796,723,0.17386320519006462,0.0839641988277435
Pattern3,NK_cell,3,3,888,0.09640837326486039,0.029523117528258484,0.09722271660448867,0.06648650860526122,0.12551589458483128,0.017045179852256995,888,0.07768315295007709,0.03006704524159435
Pattern3,Neutrophil,3,3,67,0.004224253811284133,0.00019337972557072414,0.00412245015945048,0.00410304308502417,0.004447268189377748,0.00011164783661407355,67,0.00422592058989392,5.23587405041326e-05
Pattern3,Plasmablast,3,3,33,0.046325709004510905,0.00831657668445717,0.04404203885714827,0.039389543970369104,0.05554554418601532,0.004801577787507513,33,0.04849161843798583,0.0210069715976715
Pattern3,T_cell,3,3,2669,0.048225883529451063,0.011768516231958837,0.04925237171141774,0.035977746349432335,0.05944753252750312,0.006794556014483915,2669,0.04628156898875007,0.0224907901138067
Pattern4,B_cell,3,3,420,0.12196393790572695,0.10218516420585856,0.1434816183952129,0.010733460600853544,0.2116767347211144,0.058996632061438556,420,0.13788869251935118,0.09293602034449575
Pattern4,Monocyte,3,3,723,0.08071081376155291,0.023467648723325157,0.07873565640428806,0.05829316649250612,0.10510361838786457,0.013549053307659358,723,0.0752997089289425,0.0589069798588753
Pattern4,NK_cell,3,3,888,0.2972596789064231,0.22146249349041233,0.4120165271236319,0.04197020062592482,0.4377923089697125,0.1278614302320953,888,0.15013491769561033,0.05841898918151855
Pattern4,Neutrophil,3,3,67,0.013209057501388089,0.0061887975100724905,0.012504039452683975,0.0074029606133659415,0.019720172438114355,0.0035731039084004384,67,0.01201379659260543,0.0046314899809658
Pattern4,Plasmablast,3,3,33,0.08470958359567336,0.06777597651970044,0.06968558183543387,0.025706228943929446,0.15873694000765676,0.039130478288238804,33,0.07927942090677458,0.0674244612455368
