,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5
RP11-268J15.5,5.6267577747348696e-05,3.7834139220649377e-05,0.027005232870578766,0.0008023999980650842,0.000386424275347963
STK40,4.7121690727180976e-07,0.07101184129714966,0.5225290656089783,0.2722131609916687,0.10181017965078354
CSF3R,0.0,0.0,1.0710211992263794,1.0168832886847667e-06,1.7771698139767977e-06
CDCA8,0.006651163566857576,0.023556463420391083,0.001080483547411859,0.0002867243601940572,0.0003034244291484356
MTF1,0.08857013285160065,0.07024891674518585,0.37590131163597107,0.1351155936717987,0.11183668673038483
PABPC4,0.31958475708961487,0.1006169244647026,0.5174016952514648,0.25501224398612976,0.23843838274478912
BMP8B,0.00017476353968959302,6.228703568922356e-05,0.01176514383405447,0.00014506687875837088,0.0029011217411607504
OXCT2,7.233604992507026e-05,0.0003784694417845458,0.0044957478530704975,0.0023152704816311598,0.007107657380402088
RP1-118J21.25,0.00011285801156191155,0.0002936333476100117,0.0005172744859009981,0.00016136403428390622,0.0003474535478744656
MYCL,7.843632192816585e-05,4.362106483313255e-05,0.17272959649562836,0.0,0.04044369235634804
MFSD2A,0.0,0.0,0.18467216193675995,0.06806189566850662,0.0023663227912038565
PPT1,0.2704353928565979,0.1286659687757492,0.8478832840919495,0.014547939412295818,0.131747305393219
SMAP2,0.48476842045783997,0.10572786629199982,0.5731662511825562,0.2897610366344452,0.44867441058158875
RP11-656D10.3,0.00021475282846949995,0.00010777884745039046,0.0007853262359276414,0.0002935468510258943,0.000631724891718477
CITED4,0.024066274985671043,0.0036706444807350636,0.09311177581548691,0.0,0.004603516776114702
CTPS1,0.08554206788539886,0.1122160404920578,0.02526337280869484,0.1573280394077301,0.053729619830846786
HIVEP3,0.0017004103865474463,0.17362698912620544,0.21486179530620575,0.07981985062360764,0.06946754455566406
CCDC30,0.02353694476187229,0.02773347496986389,0.03190618380904198,4.629473551176488e-06,0.028041761368513107
PPIH,0.2871663272380829,0.36532002687454224,0.22693128883838654,0.0013026148080825806,0.24137578904628754
RP11-342M1.3,0.0018266096012666821,6.93604742991738e-05,0.0004014805017504841,0.00021733203902840614,0.0003180067869834602
TIE1,7.67546080169268e-05,9.957859583664685e-05,0.00045010587200522423,0.00010094459867104888,0.0016786669148132205
MPL,5.528789188247174e-05,6.008229684084654e-05,0.0008375206962227821,8.726067608222365e-05,0.00032041114172898233
CDC20,0.0002166453778045252,0.0165461003780365,0.0020193348173052073,0.0025271931663155556,0.0006656400510109961
KDM4A-AS1,0.0012799547985196114,3.867539999191649e-05,0.00015910198271740228,0.00015616626478731632,0.0002057928213616833
ATP6V0B,0.3536148965358734,0.6605715155601501,1.2524503469467163,0.1317535787820816,0.5044606924057007
SLC6A9,0.00011371438449714333,0.00018779418314807117,0.0006086771609261632,0.00020892555767204612,0.002606030786409974
C1orf228,0.3819758892059326,0.0,0.26722943782806396,0.023289166390895844,0.10260830074548721
KIF2C,0.00053120352094993,0.002884404268115759,0.0005316140013746917,0.00476871570572257,0.0009147757664322853
RP11-269F19.2,0.00010923105583060533,6.957990262890235e-05,0.002966896630823612,0.00017236385610885918,0.0017434883629903197
RPS8,5.484667778015137,4.051097869873047,2.6920063495635986,2.5224769115448,4.507448673248291
BEST4,0.00012045132461935282,0.000220514353713952,0.0030289979185909033,0.00022556916519533843,0.0007653353386558592
PLK3,0.2778269946575165,0.0,0.5189059972763062,0.7450405359268188,8.193687790480908e-06
LINC01144,0.00014565177843905985,0.00015631000860594213,0.0005035905633121729,0.0001744241308188066,0.0006052186945453286
CCDC163P,0.03998237103223801,0.05165567994117737,0.018617166206240654,0.0,0.020076485350728035
PRDX1,0.6211674213409424,0.41488540172576904,0.7145071029663086,0.4103597402572632,0.6986503005027771
RAD54L,0.00018019667186308652,0.023654211312532425,0.0022541896905750036,0.001078768284060061,0.00028729793848469853
MOB3C,0.06020558997988701,0.06392785906791687,0.10179498791694641,0.004048945847898722,0.05277464538812637
CYP4B1,5.228156442171894e-05,7.46088262530975e-05,0.00012054927356075495,7.32589905965142e-05,0.0002689901157282293
LINC00853,0.00010723456216510385,6.889382348163053e-05,0.0004278237756807357,0.00021998610463924706,0.0003142469795420766
PDZK1IP1,0.013475938700139523,0.000519623514264822,0.0349278450012207,0.0021191872656345367,0.017175797373056412
TAL1,8.288834942504764e-05,6.969611422391608e-05,0.031909357756376266,4.220562186674215e-05,0.00023685958876740187
STIL,0.004977046046406031,0.003033379325643182,0.02192402444779873,0.001015770947560668,0.0029345182701945305
BEND5,0.048601195216178894,4.738523784908466e-05,9.778311505215243e-05,1.3517903425963596e-05,0.08623886853456497
RNF11,0.22563987970352173,0.1331665813922882,0.31923481822013855,0.4092431962490082,0.12439310550689697
TTC39A,5.735086597269401e-05,2.7750958906835876e-05,0.002704222919419408,5.829644578625448e-05,0.0197162888944149
BTF3L4,0.3485485017299652,0.1505444198846817,0.35595864057540894,0.23231928050518036,0.2976020872592926
COA7,0.028051799163222313,0.01601792871952057,0.09418025612831116,0.002181288553401828,0.05068862810730934
SLC1A7,7.249262807818013e-07,0.08738858252763748,7.995431224117056e-05,1.940693437063601e-06,0.00035692082019522786
RP11-117D22.2,0.000744620047044009,6.136475712992251e-05,0.039849039167165756,1.9125634480587905e-06,0.08157851547002792
SSBP3,0.06064416095614433,0.2454102486371994,0.21949827671051025,0.025022832676768303,0.007490630727261305
PLPP3,1.8743723558145575e-05,1.5279274521162733e-05,0.061340510845184326,0.006037371698766947,0.010498757474124432
DAB1,0.0006731342291459441,0.00032164048752747476,0.0002345792017877102,0.0007865976076573133,0.00032908894354477525
TACSTD2,3.759953688131645e-05,4.37922244600486e-05,0.050803687423467636,2.657648474269081e-05,0.0005428664153441787
JUN,0.9282549619674683,1.848697543144226,0.6879927515983582,0.0,1.0765328407287598
L1TD1,8.962113497545943e-05,8.120896382024512e-05,0.03630108758807182,8.7824730144348e-05,0.005076203029602766
ITGB3BP,0.10823982208967209,0.1473928987979889,0.10789665579795837,0.0,0.13921643793582916
PGM1,0.11393458396196365,0.20892512798309326,0.15508729219436646,0.0,0.11577039211988449
ROR1,4.88584119011648e-05,3.145207665511407e-05,9.289188164984807e-05,8.537989197066054e-05,0.02381429448723793
AK4,8.947327296482399e-05,5.127361509948969e-05,0.03792721405625343,0.000800230773165822,0.00015317117504309863
PDE4B,0.1084013357758522,0.0648394450545311,0.3494347929954529,1.0335452556610107,0.4201703369617462
WDR78,0.0029413679149001837,0.0001070926446118392,0.000430928950663656,0.0010958684142678976,0.003683416871353984
IL23R,0.00014715400175191462,0.013703134842216969,9.309686720371246e-05,0.020886139944195747,5.254171628621407e-05
