"pattern","rank","gene","weight"
"Pattern9",7,"MT-CO1",3.8451611995697
"Pattern9",8,"TMSB4X",3.74409937858582
"Pattern9",9,"HLA-B",3.71793031692505
"Pattern9",10,"EEF1A1",3.71275901794434
"Pattern9",11,"MT-ATP6",3.68977737426758
"Pattern9",12,"HLA-A",3.50144672393799
"Pattern9",13,"MT-CO3",3.48822808265686
"Pattern9",14,"ACTB",3.32923936843872
"Pattern9",15,"PFN1",3.23732805252075
"Pattern9",16,"MT-ND4L",3.15569925308228
"Pattern9",17,"TMSB10",3.15513277053833
"Pattern9",18,"MT-ND3",3.1299045085907
"Pattern9",19,"RPS12",3.1262149810791
"Pattern9",20,"SH3BGRL3",3.0751359462738
"Pattern9",21,"GNLY",2.97047138214111
"Pattern9",22,"IFITM1",2.84245228767395
"Pattern9",23,"MT-CYB",2.82742238044739
"Pattern9",24,"CTSW",2.82608485221863
"Pattern9",25,"HCST",2.75196719169617
"Pattern9",26,"GZMA",2.71475625038147
"Pattern9",27,"RPS8",2.67906713485718
"Pattern9",28,"S100A4",2.59421706199646
"Pattern9",29,"MT-ND1",2.48431277275085
"Pattern9",30,"PRF1",2.38035941123962
"Pattern9",31,"PPIA",2.20711803436279
"Pattern9",32,"MT-ND4",2.19403004646301
"Pattern9",33,"IFITM2",2.17402148246765
"Pattern9",34,"FTL",2.13147902488708
"Pattern9",35,"SRGN",2.11259055137634
"Pattern9",36,"GZMB",2.09426426887512
"Pattern9",37,"MYL6",2.0876190662384
"Pattern9",38,"PTMA",2.08672785758972
"Pattern9",39,"H3F3A",2.03918027877808
"Pattern9",40,"RPLP0",2.02975487709045
"Pattern9",41,"RPS2",1.96875596046448
"Pattern9",42,"CYBA",1.95961046218872
"Pattern9",43,"GZMM",1.91337454319
"Pattern9",44,"GZMH",1.85584998130798
"Pattern9",45,"H3F3B",1.78655123710632
"Pattern9",46,"ITGB2",1.74592864513397
"Pattern9",47,"MT-ND2",1.74240303039551
"Pattern9",48,"GAPDH",1.71266007423401
"Pattern9",49,"ACTG1",1.70171296596527
"Pattern9",50,"LSP1",1.61224770545959
"Pattern10",1,"CD74",7.79556655883789
"Pattern10",2,"EEF1A1",5.32977437973022
"Pattern10",3,"MALAT1",5.29413461685181
"Pattern10",4,"HLA-DRA",5.07158231735229
"Pattern10",5,"MT-CO2",5.02704811096191
"Pattern10",6,"MT-CO1",4.80094766616821
"Pattern10",7,"HLA-DRB1",4.75656414031982
"Pattern10",8,"RPS8",4.75651931762695
"Pattern10",9,"RPS12",4.69323778152466
"Pattern10",10,"MT-ATP6",4.68813228607178
"Pattern10",11,"MT-CO3",4.53058671951294
"Pattern10",12,"MT-ND3",4.37087154388428
"Pattern10",13,"MT-ND4L",4.26322221755981
"Pattern10",14,"B2M",4.20116329193115
"Pattern10",15,"MT-CYB",4.14948415756226
"Pattern10",16,"HLA-DPB1",4.09341239929199
"Pattern10",17,"HLA-DPA1",4.06789064407349
"Pattern10",18,"HLA-B",3.75556993484497
"Pattern10",19,"PTMA",3.69876194000244
"Pattern10",20,"RPS2",3.5012001991272
"Pattern10",21,"RPLP0",3.44014430046082
"Pattern10",22,"MT-ND1",3.43184804916382
"Pattern10",23,"TMSB10",3.35722064971924
"Pattern10",24,"HLA-DRB5",3.34923243522644
"Pattern10",25,"MT-ND4",3.34461188316345
"Pattern10",26,"FTH1",3.24137377738953
"Pattern10",27,"CD37",3.21001744270325
"Pattern10",28,"AC090498.1",3.090416431427
"Pattern10",29,"FTL",3.0803599357605
"Pattern10",30,"ACTB",3.07863855361938
"Pattern10",31,"HLA-DQB1",2.98080134391785
"Pattern10",32,"HLA-DQA1",2.96378779411316
"Pattern10",33,"TMSB4X",2.9315390586853
"Pattern10",34,"MT-ND2",2.79580903053284
"Pattern10",35,"HLA-A",2.78587985038757
"Pattern10",36,"H3F3A",2.75187969207764
"Pattern10",37,"PPIA",2.61597990989685
"Pattern10",38,"MTRNR2L12",2.54240083694458
"Pattern10",39,"TAGLN2",2.44195675849915
"Pattern10",40,"CD79A",2.37677192687988
"Pattern10",41,"H3F3B",2.17971467971802
"Pattern10",42,"CD52",1.9956636428833
"Pattern10",43,"EZR",1.99116158485413
"Pattern10",44,"OAZ1",1.87990188598633
"Pattern10",45,"PFN1",1.76695942878723
"Pattern10",46,"UBC",1.66378140449524
"Pattern10",47,"MS4A1",1.61359167098999
"Pattern10",48,"ARPC3",1.53575468063354
"Pattern10",49,"HMGB1",1.53048849105835
"Pattern10",50,"JUNB",1.42672348022461
