"","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Pattern7","Pattern8","Pattern9","Pattern10"
"RP11-231C14.7",2.05317292056861e-06,0.0768344327807426,0.000448878214228898,2.38085431192303e-05,0.060033056885004,4.1703533497639e-05,5.49183823750354e-06,0.0355786010622978,0.000223868017201312,0.190866947174072
"RP11-231C14.4",5.44864051335026e-05,0.000146261227200739,2.1646155801136e-05,6.1160018958617e-05,0.0276535861194134,0.000101536686997861,3.31417395500466e-05,8.8524364400655e-05,5.56668164790608e-05,0.000568768009543419
"SPN",0.0776828303933144,0.130054414272308,0.386367946863174,0,0.409283578395844,0.333048462867737,0.03096186183393,0.295528799295425,0.598491609096527,4.341276849118e-07
"AC009133.17",4.34888606832828e-05,4.78265747005935e-07,4.46379199274816e-05,0.000113939597213175,0.112593851983547,0.0687914043664932,2.32693382713478e-05,1.7645446860115e-05,9.09916925593279e-05,0.0103556225076318
"KIF22",0.0859882608056068,0.0026049823500216,0,2.45680967054795e-05,0.405091851949692,0.113739363849163,0.14652606844902,0.205976441502571,0.167936384677887,0.0189837701618671
"AC009133.21",0.000950710498727858,0.000333024305291474,0.000273236073553562,0.000272537319688126,0.000560288201086223,0.000135734677314758,0.000227650423767045,0.0002070944319712,7.52651976654306e-05,0.00021170151012484
"AC009133.12",0.00292577873915434,0.000899052945896983,0.0547044090926647,0.00174864730797708,0.063967376947403,3.31130650010891e-05,0.00451885955408216,1.88392859854503e-05,0.000177588910446502,0.000543330213986337
"PRRT2",0.00269323820248246,0.000220693545998074,8.25293464004062e-05,0.000252001511398703,0.000418051204178482,0.000210910264286213,0.0026522851549089,0.000196070192032494,6.65965053485706e-05,0.00018695391190704
"HIRIP3",0.000111044922959991,4.03490844291809e-07,0.130103260278702,1.01039540822967e-05,0.237794384360313,0.0911150053143501,0.0615376606583595,3.03052161143569e-07,0.0235302615910769,1.21762805065373e-05
"ALDOA",0.951875686645508,1.18956410884857,0.565315246582031,0.336012840270996,0.398914217948914,1.26288783550262,0.589494407176971,2.62200951576233,0.692605018615723,0.541003882884979
"RP11-455F5.3",0.000172137137269601,0.000837425526697189,0.000214622836210765,9.29845264181495e-05,0.000235885920119472,0.000219460067455657,8.62963061081246e-05,0.000209675272344612,9.18009973247536e-05,0.0002675277646631
"GDPD3",7.75253793108277e-05,1.22195269796066e-05,3.90086188417627e-06,4.76211789646186e-05,0.0331265591084957,0.000727035978343338,0.000102047335531097,0.0634187832474709,5.37573941983283e-05,0.000195004264242016
"CORO1A",0.68579512834549,0.577939450740814,1.10619628429413,0,0.537064135074615,2.14560341835022,0.928111433982849,2.09469938278198,1.26904213428497,1.16369867324829
"SULT1A3",1.59044448082568e-05,0.0526528805494308,0.000264716742094606,1.56959486048436e-05,0.149047985672951,1.08299109342624e-05,0.0065001267939806,0.115755118429661,0,1.85076660272898e-05
"SEPT1",0.28974387049675,4.40134982682139e-07,0,0.189346581697464,0.433362483978271,0.753221154212952,0.520097196102142,8.16982446849579e-06,0.376674801111221,0.287307977676392
"SEPHS2",0.0390675626695156,4.07306788474671e-06,0.0814535766839981,0.0347500294446945,0.373796761035919,0.202924117445946,0.119821920990944,0.198789164423943,0.0651394575834274,0.0955365747213364
"SRCAP",0.0674363151192665,0.0810735821723938,9.78299649432302e-05,0.0770366415381432,0.25470370054245,5.34036626049783e-05,0.055750235915184,0.0111942384392023,0.024663832038641,0.0666986256837845
"RP11-2C24.9",0.000229519311687909,0.02201808989048,0.000173352324054576,0.000209053308935836,0.000873429293278605,0.00010238190589007,0.00012871649232693,0.000183352312888019,3.7765388697153e-05,7.53755812183954e-05
"CCDC189",4.29879291914403e-05,8.34617312648334e-05,1.63217248427827e-06,9.31591785047203e-05,0.154651179909706,0,0,0.0203625205904245,0,0.0338724218308926
"ZNF629",0.000110851273348089,0.00356867047958076,0.000113879752461798,0.000132471672259271,0.0579411350190639,0.0150990132242441,0.00301660224795341,0.058404803276062,0,0.000125668506370857
"FBXL19-AS1",0.000189217549632303,0.000431751366704702,0.000428002007538453,0.00015964284830261,0.00841122213751078,0.000597125908825547,3.22567429975607e-05,0.00240064761601388,8.42590379761532e-05,0.00215777545236051
"HSD3B7",0.000111649300379213,0.0350407436490059,2.46034305746434e-05,3.9324466342805e-05,0.0150638092309237,0.000111058114271145,0.000132375382236205,0.0359673202037811,5.30260185769293e-05,0.000709138112142682
"STX1B",0.000177928057382815,0.00149823003448546,0.000405657396186143,0.000184604898095131,0.00329779321327806,0.000368849316146225,0.000578458944801241,0.00034059610334225,0.000241374364122748,0.000235191371757537
"STX4",0.0331522189080715,0.513607680797577,0.256926596164703,0.116193868219852,0.224424436688423,0.168965682387352,0.079570971429348,0.267074137926102,0.138772904872894,0.106939151883125
"PRSS53",0.0211676228791475,0.000364839506801218,6.19295606156811e-05,7.59988251957111e-05,0.00329510122537613,0.000870846037287265,0.000178831222001463,0.00123588321730494,9.63758066063747e-05,0.000157508387928829
"PYCARD",4.11973815062083e-06,0.521480023860931,0.465886563062668,0,0.409699022769928,0.332044899463654,0,1.56009387969971,0.174152016639709,0.0775668919086456
"ITGAM",3.09331369408028e-07,0.460831195116043,0,0.040753323584795,0.0113207530230284,4.3618538256851e-06,1.11337692487723e-06,0.617103695869446,0.37298983335495,0.00239736190997064
"ITGAX",0.00249566626735032,1.45056235790253,0.000190640392247587,0,0.0486878305673599,0,0,0.615063071250916,0.0533767342567444,5.54053367523011e-05
"ITGAD",8.77647398738191e-05,0.0447409600019455,0.000100373195891734,0.000206489217816852,0.000226952484808862,8.92030075192451e-05,9.9753618997056e-05,0.000238498279941268,4.26505030191038e-05,0.000125839229440317
"TGFB1I1",0.000475246808491647,0.000205754200578667,0.000149367115227506,0.000136367889354005,0.0183480754494667,0.000163997829076834,0.000191352024558,0.00891236215829849,0.000107680702058133,0.000140918287797831
"AC026471.6",0.000153560729813762,0.000192883308045566,0.000156404697918333,8.82730364537565e-06,0.008831936866045,0.0177725441753864,4.63474279968068e-05,0.000150662192027085,2.44654202106176e-05,0.000179968599695712
"AHSP",6.83813850628212e-05,0.000118565949378535,5.38802341907285e-05,2.47345942625543e-05,0.0519151650369167,2.77889648714336e-06,0.012868476100266,0.000149540821439587,3.97822041122708e-05,0.000160493567818776
