subject,broad_cell_type,timepoint_merged,day_merged_numeric,n_cells,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10,ifn_program_score,translation_program_score,mito_program_score,plasmablast_program_score
Subject2,T_cell,D14/15,14.5,152,0.1571442713407138,0.002437415036735449,0.09717559323282587,0.13911110771433088,0.16533184007207966,0.062489140230388124,0.6349674796840287,0.0023594171541546144,0.050365620314391416,0.009727567675040535,0.2407627408075751,1.651912319897069,2.0666272246210196,-0.1934934870519659
Subject2,T_cell,D2,2.0,157,0.23890554464167793,0.008111840536188363,0.024872676294105688,0.20912807637772174,0.12040858761797697,0.04152346034609352,0.5719959672959744,0.0007580947337321581,0.040527209421001,0.012477044798578984,-0.12681328801592448,1.9004885041789643,2.4955601839199186,-0.19351751798530548
Subject2,T_cell,D28,28.0,145,0.23308747179447195,0.0015274433120206028,0.03419576587032467,0.12866104940909714,0.06699363782972247,0.06521007828260374,0.5326748082735415,0.002022479006505801,0.031841286733730614,0.006469045879601963,-0.04141002202033994,1.7401573446919434,2.204259167375236,-0.1668841207685142
Subject2,T_cell,D4,4.0,149,0.16104006774011062,0.006176898565231762,0.013453185296964055,0.2052698918405379,0.04912585773424945,0.060099102635106275,0.5210601086846692,0.001710724985932501,0.026095702904807186,0.010782126588697176,-0.1633946093776882,1.970234422451208,2.556603239942717,-0.16996933069805167
Subject2,T_cell,D6,6.0,141,0.2215276566728609,0.007098483708803147,0.021043825909929443,0.17823668088101785,0.07381056852565948,0.028682918647722606,0.5521952788323481,0.0014988245523600517,0.04948892944012261,0.014636370885247881,-0.12008277248828968,1.945696796620698,2.53797440522106,-0.19333622542960704
Subject2,T_cell,D8,8.0,148,0.2316516169616098,0.0055312943211214965,0.020916382017998163,0.1249497633406597,0.0619295133447929,0.04006078632774931,0.5418116471956711,0.0015550620872506816,0.04710019084769298,0.01721937901274583,-0.1637662468165965,1.9407594468602802,2.3941212087064176,-0.15865880245292507
Subject3,B_cell,D0,0.0,21,0.013390925586150753,2.9835771444130046e-06,0.009033139508645637,0.011803754576571153,0.16217988714154113,0.3309261997540792,0.008633313764107678,0.032796845159498905,0.008564802159942988,0.6184721773579007,-0.2739063533147176,1.9968777062014782,2.821044251578195,0.2704635238269019
Subject3,B_cell,D10,10.0,6,3.783416246960767e-08,3.1828339312293433e-07,0.17979654793938007,0.0037188710243280265,0.016463834194989126,0.24311632166306185,8.61105011532951e-06,0.01228805972035236,0.0024409311743246085,0.6214965780576068,1.1522589598761648,1.7323534440021133,2.794423395792643,0.18876254293653716
Subject3,B_cell,D14/15,14.5,6,8.5831952674198e-06,1.3516078998539639e-05,0.14881613478064543,0.008613912191651231,0.16935387874643018,0.3097977687915165,0.01049975457522123,0.010110692174445497,0.009750439509465029,0.5907370746135711,0.8031607770919794,1.7854840122923568,2.7998436101277666,0.3414839046531255
Subject3,B_cell,D2,2.0,8,6.971140408040803e-06,8.91410849135355e-07,0.010522511566023239,0.02382766553926529,0.10479486652184272,0.26236711069941526,5.9683465650533734e-05,0.025743267995949275,0.06699853029618913,0.600602298974991,-0.19823754370212557,1.9956951481955387,2.918824100494384,0.04600753257671999
Subject3,B_cell,D28,28.0,16,0.0005101443925923352,5.15409017864954e-06,0.012329729553112389,0.015031571241339208,0.15657598266987813,0.306151170283556,0.004282112424615288,0.024137286043185217,0.11694484781210682,0.5447814259678126,-0.11129247928659125,1.9424122991610524,2.6055267524719237,0.1964867605765661
Subject3,B_cell,D4,4.0,16,2.114609647207491e-05,4.603659792223838e-05,0.012333918503753082,0.01175487596293214,0.19648719438005455,0.33364078029990196,0.0026873817998307433,0.029908342700764465,0.15289511384381888,0.5710139386355877,-0.1712170702219009,1.931144081512275,2.87802939414978,0.16971154908339176
Subject3,B_cell,D6,6.0,16,0.010149170419220248,0.002091432331667422,0.013865278137075138,0.007984614521713382,0.24030392982649576,0.3168536089360714,0.019129810552302996,0.033382661896666846,0.05556326245017026,0.5629569962620735,-0.17002012928326932,2.0616802840816733,2.8490007781982425,0.18858657660583647
