,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10
UBXN11,0.07424386590719223,0.5939538478851318,8.963305617726292e-07,0.030734555795788765,0.17617131769657135,0.2595071494579315,0.0720093846321106,0.6456009745597839,0.0,3.475785206319415e-06
CD52,1.6570912599563599,0.8079521656036377,0.30803927779197693,0.0,4.553012047381344e-07,4.0300703048706055,1.1425715684890747,1.1657297611236572,0.37846189737319946,1.9956636428833008
ZNF683,0.00010927609400823712,0.00017285677313338965,7.707816621405073e-06,3.8201291317818686e-05,0.02772686257958412,0.025492940098047256,4.030113814224023e-06,0.0001237951364601031,0.1265428513288498,0.0005709989927709103
HMGN2,0.2541531026363373,0.41987043619155884,0.7715733051300049,3.174691664753482e-05,0.3300522267818451,0.7857847809791565,0.7138057947158813,0.919818103313446,0.6006611585617065,0.7537282705307007
SYTL1,0.22128257155418396,0.08060299605131149,0.10003969818353653,0.1288122683763504,0.3668528199195862,0.5224067568778992,0.20751126110553741,0.21309295296669006,0.4277268648147583,0.18001125752925873
GPR3,4.532407547230832e-05,0.052666399627923965,5.926199082750827e-05,8.622401219327003e-05,0.003928215242922306,0.00011627112689893693,4.994533082935959e-05,6.742443656548858e-05,7.060528150759637e-05,0.0002700976619962603
FGR,2.3835330864585558e-07,1.129813313484192,0.19795957207679749,0.0,0.022232169285416603,2.5585011826478876e-05,0.0,1.6004096269607544,0.6546698212623596,0.047199547290802
IFI6,0.13587693870067596,0.16374178230762482,5.1751179695129395,8.559310663258657e-05,0.02500814013183117,0.21578724682331085,0.03139739856123924,0.2284228354692459,0.13101346790790558,9.428213765261262e-09
THEMIS2,3.009110471907661e-08,0.4325975775718689,0.35256126523017883,0.0,0.24170026183128357,0.09226585179567337,0.0,0.8172919154167175,0.11512571573257446,0.016174165531992912
RPA2,5.270958718028851e-05,7.951809521955511e-08,0.18455244600772858,1.0937800652754959e-05,0.3515866696834564,0.3272798955440521,0.14081503450870514,0.12070801109075546,0.2327037900686264,0.12947256863117218
PTAFR,7.248787005664781e-05,0.3998478651046753,0.0,0.0,3.22416872222675e-06,3.0148155929055065e-05,5.8769957831827924e-05,0.6396100521087646,2.0475617930060253e-05,6.145154475234449e-05
SNHG12,0.0697919949889183,1.1532320058904588e-05,0.19163662195205688,0.7492530941963196,0.34637415409088135,0.2632714807987213,0.2705081105232239,0.00042235845467075706,0.03577350825071335,0.09911852329969406
FABP3,0.000567037146538496,0.0009786041919142008,0.00013061762729194015,5.069364851806313e-05,0.0028599007055163383,8.479633106617257e-05,9.509266237728298e-05,0.0007373210391961038,5.420409797807224e-05,0.0008899406529963017
LINC01226,0.00012019521091133356,0.006851075682789087,0.00018495625408831984,0.00015031541988719255,0.0026842323131859303,0.00013548728020396084,9.087695798370987e-05,0.00030888733454048634,7.999469380592927e-05,0.0003077933215536177
ADGRB2,7.400551112368703e-05,0.00018455545068718493,0.00021309433213900775,0.0003558443859219551,0.008145483210682869,0.0002174489782191813,4.597561928676441e-05,0.0003235817712265998,0.002597869373857975,0.00020041617972310632
SPOCD1,0.00020751044212374836,0.0007548562716692686,0.0001261480647372082,5.311690256348811e-05,0.0034724802244454622,0.00010705439490266144,7.182753324741498e-05,0.0016183165134862065,8.765525853959844e-05,0.000280608277535066
HDAC1,0.11220008134841919,0.04620055481791496,3.2330026442650706e-05,0.0,0.44507819414138794,0.4202266335487366,0.16204510629177094,0.19183169305324554,0.15093228220939636,0.19778813421726227
MARCKSL1,0.25118979811668396,0.6622883677482605,0.22639396786689758,0.7083099484443665,0.21056538820266724,0.21728995442390442,0.2889944016933441,0.1694435030221939,0.0,0.4629969000816345
